                    TK_MINUS TK_NE TK_RECORDID TK_COMMENT TK_AND TK_OP TK_CL TK_MUL TK_DOT TK_DIV TK_COLON TK_SEM TK_COMMA TK_OR TK_SQR TK_NUM TK_RNUM TK_FIELDID TK_ID TK_SQL TK_FUNID TK_MAIN TK_NOT TK_PLUS TK_LT TK_ASSIGNOP TK_LE TK_EQ TK_GT TK_GE TK_CALL TK_ELSE TK_END TK_ENDIF TK_ENDRECORD TK_ENDWHILE TK_GLOBAL TK_IF TK_INPUT TK_INT TK_LIST TK_OUTPUT TK_PARAMETER TK_PARAMETERS TK_READ TK_REAL TK_RECORD TK_RETURN TK_THEN TK_TYPE TK_WHILE TK_WITH TK_WRITE TK_EPS TK_DOLLAR 
<global_or_not>	0	0	0	0	0	0	0	0	0	0	1191	1192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1192	0	
<otherStmts>	0	0	1201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1201	1201	0	0	0	0	0	0	0	0	0	0	1201	1202	0	1202	0	1202	0	1201	0	0	0	0	0	0	1201	0	0	1202	0	0	1201	0	1201	1202	0	
<stmt>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1211	1215	0	0	0	0	0	0	0	0	0	0	1215	0	0	0	0	0	0	1213	0	0	0	0	0	0	1214	0	0	0	0	0	1212	0	1214	0	0	
<assignmentStmt>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<singleOrRecId>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<funCallStmt>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1241	0	0	0	0	0	0	0	0	0	0	1241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<outputParameters>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251	0	0	0	0	0	0	0	0	0	0	1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1252	0	
<inputParameters>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<iterativeStmt>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1271	0	0	0	0	
<conditionalStmt>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
